,Cluster Label,Country,Capital City,GDP/Capita 2018
0,2,Montenegro,Podgorica,8844
1,2,Cuba,Havana,8822
2,2,Dominican Republic,Santo Domingo,8051
3,2,Dominica,Roseau,7691
4,2,Serbia,Belgrade,7247
5,2,Peru,Lima,6941
6,2,Colombia,Bogotá,6668
7,2,Ecuador,Quito,6345
8,2,Belarus,Minsk,6290
9,2,Suriname,Paramaribo,6234
10,2,North Macedonia,Skopje,6084
11,2,Bosnia and Herzegovina,Sarajevo,6066
12,2,Paraguay,Asunción,5822
13,2,Jamaica,Kingston,5354
14,2,Albania,Tirana,5269
15,2,Guyana,Georgetown,4979
16,2,Belize,Belmopan,4885
17,2,Guatemala,Guatemala City,4549
18,2,El Salvador,San Salvador,4058
19,2,Moldova,Chișinău,3227
20,2,Ukraine,Kiev,3095
21,2,Honduras,Tegucigalpa,2500
22,2,Nicaragua,Managua,2029
23,2,Haiti,Port-au-Prince,868
